title,link,date,price,housing,housing_category,city_area,housing_type,housing_state,living_area,land_area,price_per_meter,ad_id,lat,long
"2 izb. Byt v osobnom vlastníctve - Aténska ul., 5 posch., lodžia, 52 m2",https://www.nehnutelnosti.sk/5055114/2-izb-byt-v-osobnom-vlastnictve-atenska-ul-5-posch-lodzia-52-m2/,31.03.2023,121500,Byty,2 izbový byt,Košice I - Sídlisko Ťahanovce,Predaj,Pôvodný stav,52,0,2336.54,5055114,48.758589,21.263942
"4 izb. byt pri Novej Nemocnici, 3.posch., lodžia, výťah, kumbál",https://www.nehnutelnosti.sk/5055771/4-izb-byt-pri-novej-nemocnici-3-posch-lodzia-vytah-kumbal/,31.03.2023,159900,Byty,4 izbový byt,Košice II - Západ,Predaj,Pôvodný stav,72,0,2220.83,5055771,48.72193,21.231879
"4-izb byt, NOVOSTAVBA Fatranská, Nová Terasa, Košice",https://www.nehnutelnosti.sk/5002313/4-izb-byt-novostavba-fatranska-nova-terasa-kosice/,31.03.2023,369000,Byty,4 izbový byt,Košice II - Západ,Predaj,Novostavba,102,0,3617.65,5002313,48.72380531,21.24013833
"nadštandardný 1,5-izb pražský byt, 47m2 + loggia Inžinierska Terasa",https://www.nehnutelnosti.sk/5048783/nadstandardny-1-5-izb-prazsky-byt-47m2-loggia-inzinierska-terasa/,31.03.2023,132500,Byty,2 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,47,0,2819.15,5048783,48.7168449,21.2391936
"Arvin & Benet | Slnečný, stavebný pozemok so všetkými inžinierskymi sieťami 20 min. od centra Košíc",https://www.nehnutelnosti.sk/5039704/arvin-benet-slnecny-stavebny-pozemok-so-vsetkymi-inzinierskymi-sietami-20-min-od-centra-kosic/,31.03.2023,250000,Pozemky,Pozemok pre rod. domy,Košice IV - Krásna,Predaj,,0, 692,361.27,5039704,48.6667244,21.3185852
PONÚKAME 3 izbový investičný byt na sídlisku Terasa o rozlohe 59 m2 s lodžiou,https://www.nehnutelnosti.sk/5046695/ponukame-3-izbovy-investicny-byt-na-sidlisku-terasa-o-rozlohe-59-m2-s-lodziou/,31.03.2023,123000,Byty,3 izbový byt,Košice II - Západ,Predaj,Pôvodný stav,59,0,2084.75,5046695,48.7143059,21.2345867
Na predaj 2 izbový byt po kompletnej rekonštrukcii v tichej lokalite pri OC Galéria.,https://www.nehnutelnosti.sk/4998532/na-predaj-2-izbovy-byt-po-kompletnej-rekonstrukcii-v-tichej-lokalite-pri-oc-galeria/,31.03.2023,133980,Byty,2 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,51,0,2627.06,4998532,48.7143059,21.2345867
Na predaj 3 izbový byt na sídlisku Dargovských hrdinov.,https://www.nehnutelnosti.sk/5037841/na-predaj-3-izbovy-byt-na-sidlisku-dargovskych-hrdinov/,31.03.2023,144990,Byty,3 izbový byt,Košice III - Dargovských Hrdinov,Predaj,Čiastočná rekonštrukcia,71,0,2042.11,5037841,48.744236,21.2771435
So súhlasom majiteľa ponúkame 3 izbový byt pre rodinu o výmere 60 m2 s lodžiou na 8/10 poschodí vo v,https://www.nehnutelnosti.sk/5042420/so-suhlasom-majitela-ponukame-3-izbovy-byt-pre-rodinu-o-vymere-60-m2-s-lodziou-na-8-10-poschodi-vo-v/,31.03.2023,132000,Byty,3 izbový byt,Košice II - Západ,Predaj,Čiastočná rekonštrukcia,60,0,2200,5042420,48.7143059,21.2345867
"Na predaj 1 izbový byt v mestskej časti Nad Jazerom, po kompletnej rekonštrukcii s dvoma loggiami.",https://www.nehnutelnosti.sk/4998533/na-predaj-1-izbovy-byt-v-mestskej-casti-nad-jazerom-po-kompletnej-rekonstrukcii-s-dvoma-loggiami/,31.03.2023,102990,Byty,1 izbový byt,Košice IV - Nad jazerom,Predaj,Kompletná rekonštrukcia,42,0,2452.14,4998533,48.6893387,21.2844601
"Na predaj priestranný, zrekonštruovaný, slnečný 1 izbový byt, 42m2, 2x loggia na sídlisko Nad jazero",https://www.nehnutelnosti.sk/4917068/na-predaj-priestranny-zrekonstruovany-slnecny-1-izbovy-byt-42m2-2x-loggia-na-sidlisko-nad-jazero/,31.03.2023,109990,Byty,1 izbový byt,Košice IV - Nad jazerom,Predaj,Kompletná rekonštrukcia,42,0,2618.81,4917068,48.6893387,21.2844601
NA PREDAJ 3 IZBOVÝ BYT S LODŽIOU NA SÍDLISKU ŤAHANOVCE,https://www.nehnutelnosti.sk/5068051/na-predaj-3-izbovy-byt-s-lodziou-na-sidlisku-tahanovce/,31.03.2023,159990,Byty,3 izbový byt,Košice I - Sídlisko Ťahanovce,Predaj,Čiastočná rekonštrukcia,80,0,1999.88,5068051,48.7585166,21.2642996
SPUTNIKOVÁ- Kompletne zrekonštruovaný pražský 3-izbový byt,https://www.nehnutelnosti.sk/5058780/sputnikova-kompletne-zrekonstruovany-prazsky-3-izbovy-byt/,31.03.2023,183600,Byty,3 izbový byt,Košice IV - Nad jazerom,Predaj,Kompletná rekonštrukcia,72,0,2550,5058780,48.6792409,21.2978596
NA PREDAJ 2-izbový byt - Čiastočná rekonštrukcia - POVAŽSKÁ - Loggia - Výhľad na mesto,https://www.nehnutelnosti.sk/5033035/na-predaj-2-izbovy-byt-ciastocna-rekonstrukcia-povazska-loggia-vyhlad-na-mesto/,31.03.2023,125000,Byty,2 izbový byt,Košice II - Západ,Predaj,Čiastočná rekonštrukcia,54,0,2314.81,5033035,48.7184548,21.2400714
6 IZBOVÝ RODINNÝ DOM - POĽNÁ  ULICA -  KOŠICKÁ NOVÁ VES,https://www.nehnutelnosti.sk/5018756/6-izbovy-rodinny-dom-polna-ulica-kosicka-nova-ves/,31.03.2023,Cenadohodou,Domy,Rodinný dom,Košice III - Košická Nová Ves,Predaj,Pôvodný stav,200, 800,0,5018756,48.7314646,21.3025262
Predaj 3 izbový byt KVP,https://www.nehnutelnosti.sk/5068703/predaj-3-izbovy-byt-kvp/,31.03.2023,160000,Byty,3 izbový byt,Košice II - Sídlisko KVP,Predaj,Kompletná rekonštrukcia,65,0,2461.54,5068703,48.7159077,21.2155629
"Prenájom výrobných, skladových a administratívnych priestorov",https://www.nehnutelnosti.sk/4979649/prenajom-vyrobnych-skladovych-a-administrativnych-priestorov/,31.03.2023,"4,50/mes.",Priestory,Skladové priestory,Košice IV - Juh,Prenájom,Čiastočná rekonštrukcia,14200,0,0,4979649,48.6943053,21.2492546
"NOVOSTAVBA RD, Košice-Pereš, Gelnická ul., garáž, terasy, tepelné čerpadlo, jedinečný 9á pozemok",https://www.nehnutelnosti.sk/5021390/novostavba-rd-kosice-peres-gelnicka-ul-garaz-terasy-tepelne-cerpadlo-jedinecny-9a-pozemok/,31.03.2023,589000,Domy,Rodinný dom,Košice II - Pereš,Predaj,Novostavba,232, 889,2538.79,5021390,48.8518087,20.9339431
Ovručská ulica - 4 izbový byt v pôvodnom stave,https://www.nehnutelnosti.sk/5056454/ovrucska-ulica-4-izbovy-byt-v-povodnom-stave/,31.03.2023,135000,Byty,3 izbový byt,Košice III - Dargovských Hrdinov,Predaj,Pôvodný stav,77,0,1753.25,5056454,48.7380161,21.2879635
"2 izbový byt s lodžiou, 51m2, Košice - Nad jazerom",https://www.nehnutelnosti.sk/5037926/2-izbovy-byt-s-lodziou-51m2-kosice-nad-jazerom/,31.03.2023,105000,Byty,2 izbový byt,Košice IV - Nad jazerom,Predaj,Pôvodný stav,51,0,2058.82,5037926,48.6795989019,21.29927837338
Výhodne na predaj 3 izbový byt Košice Terasa,https://www.nehnutelnosti.sk/4899967/vyhodne-na-predaj-3-izbovy-byt-kosice-terasa/,31.03.2023,Cenadohodou,Byty,3 izbový byt,Košice II - Západ,Predaj,Čiastočná rekonštrukcia,68,0,0,4899967,48.7127673,21.2364688
"Na predaj 3 izbový byt 70 m2, Čordákova, Košice KVP - Reserve",https://www.nehnutelnosti.sk/5010726/na-predaj-3-izbovy-byt-70-m2-cordakova-kosice-kvp-reserve/,31.03.2023,157000,Byty,3 izbový byt,Košice II - Sídlisko KVP,Predaj,Čiastočná rekonštrukcia,70,0,2242.86,5010726,48.7159077,21.2155629
"Na predaj 3 izbový byt  Aténska ulica, Košice Sídlisko Ťahanovce",https://www.nehnutelnosti.sk/4903921/na-predaj-3-izbovy-byt-atenska-ulica-kosice-sidlisko-tahanovce/,31.03.2023,165000,Byty,3 izbový byt,Košice I - Sídlisko Ťahanovce,Predaj,Čiastočná rekonštrukcia,70,0,2357.14,4903921,48.7585166,21.2642996
Slnečný 3 izb. byt v novostavbe na predaj,https://www.nehnutelnosti.sk/4868416/slnecny-3-izb-byt-v-novostavbe-na-predaj/,31.03.2023,249990,Byty,3 izbový byt,Košice I - Staré Mesto,Predaj,Novostavba,84,0,2976.07,4868416,48.722374,21.2570038
"Predám 1,5 izb. byt BELEHRADSKÁ ul., Ťahanovce",https://www.nehnutelnosti.sk/4973196/predam-1-5-izb-byt-belehradska-ul-tahanovce/,31.03.2023,102990,Byty,2 izbový byt,Košice I - Sídlisko Ťahanovce,Predaj,Kompletná rekonštrukcia,"39,48",0,2608.66,4973196,48.7567367,21.2734896
"Prenájom obchodných priestorov v OC Cassovia, Košice - Juh",https://www.nehnutelnosti.sk/4974535/prenajom-obchodnych-priestorov-v-oc-cassovia-kosice-juh/,31.03.2023,Cenadohodou,Priestory,Obchodné priestory,Košice IV - Juh,Prenájom,Novostavba,110,0,0,4974535,48.6960289,21.2465224
"Garáž v polyfunkčnej budove Lidické námestie 15, Furča Košice",https://www.nehnutelnosti.sk/5021344/garaz-v-polyfunkcnej-budove-lidicke-namestie-15-furca-kosice/,30.03.2023,35900,Objekty,Garáž,Košice III - Dargovských Hrdinov,Predaj,Kompletná rekonštrukcia,0,0,0,5021344,48.74582197,21.28907873
2.izbový byt v Košiciach,https://www.nehnutelnosti.sk/4919502/2-izbovy-byt-v-kosiciach/,31.03.2023,139900,Byty,2 izbový byt,Košice IV - Krásna,Predaj,Kompletná rekonštrukcia,"52,46",0,2666.79,4919502,48.6726641,21.3187619
Krásny slnečný  3.izbový byt v Košiciach -KVP,https://www.nehnutelnosti.sk/4937973/krasny-slnecny-3-izbovy-byt-v-kosiciach-kvp/,31.03.2023,173000,Byty,3 izbový byt,Košice II - Sídlisko KVP,Predaj,Kompletná rekonštrukcia,70,0,2471.43,4937973,48.7159077,21.2155629
"1,5 IZB. BYT, Ostravská ul., KE - JUH, 3.p., KOMPLETNÁ REKONŠTRUKCIA",https://www.nehnutelnosti.sk/5062795/1-5-izb-byt-ostravska-ul-ke-juh-3-p-kompletna-rekonstrukcia/,31.03.2023,132900,Byty,2 izbový byt,Košice IV - Juh,Predaj,Kompletná rekonštrukcia,40,0,3322.50,5062795,48.7003404,21.2537228
V NOVOSTAVBE komplet zariadený 3 izbový byt,https://www.nehnutelnosti.sk/4700957/v-novostavbe-komplet-zariadeny-3-izbovy-byt/,30.03.2023,199900,Byty,3 izbový byt,Košice III - Dargovských Hrdinov,Predaj,Novostavba,90,0,2221.11,4700957,48.744236,21.2771435
Prenájom krásneho 2-izb. bytu,https://www.nehnutelnosti.sk/4884268/prenajom-krasneho-2-izb-bytu/,30.03.2023,600,Byty,2 izbový byt,Košice I - Sever,Prenájom,Kompletná rekonštrukcia,"54,7",0,0,4884268,48.7366142,21.2461834
Predaj 3-izbovy byt pri OC Galéria,https://www.nehnutelnosti.sk/4946430/predaj-3-izbovy-byt-pri-oc-galeria/,31.03.2023,199800,Byty,3 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,71,0,2814.08,4946430,48.716875334215,21.23920061324
"1,5 izb. byt 42,27 m2, URALSKÁ 15, Nad Jazerom, Košice, 2.p.",https://www.nehnutelnosti.sk/5020186/1-5-izb-byt-42-27-m2-uralska-15-nad-jazerom-kosice-2-p/,31.03.2023,129900,Byty,2 izbový byt,Košice IV - Nad jazerom,Predaj,Kompletná rekonštrukcia,"42,27",0,3073.10,5020186,48.6893403,21.2844607
"1,5-IZB. BYT S PARKOVACÍM MIESTOM, KOŠICE – ŠACA",https://www.nehnutelnosti.sk/5025898/1-5-izb-byt-s-parkovacim-miestom-kosice-saca/,31.03.2023,103000,Byty,2 izbový byt,Košice II - Šaca,Predaj,Kompletná rekonštrukcia,37,0,2783.78,5025898,48.6309856,21.177729
2-izb. KE-Juh pri nemocnici - parkovanie vo dvore,https://www.nehnutelnosti.sk/4984556/2-izb-ke-juh-pri-nemocnici-parkovanie-vo-dvore/,29.03.2023,600/mes.,Byty,2 izbový byt,Košice IV - Juh,Prenájom,Kompletná rekonštrukcia,41, 154,14.63,4984556,48.709971140757,21.255819238324
Dvojdom na predaj,https://www.nehnutelnosti.sk/4984349/dvojdom-na-predaj/,29.03.2023,343000,Domy,Rodinný dom,Košice IV - Krásna,Predaj,Novostavba,145, 383,2365.52,4984349,48.672671670612,21.31878718092
"Priemyselný stavebný pozemok Košice, Južná trieda",https://www.nehnutelnosti.sk/5001741/priemyselny-stavebny-pozemok-kosice-juzna-trieda/,29.03.2023,Cenadohodou,Pozemky,Priemyselná zóna,Košice IV - Juh,Predaj,,0, 3365,0,5001741,48.687534573874,21.270593939116
"Odporúčame: 3-izb. byt v centre Košíc- Mäsiarska, parkovanie vo dvore",https://www.nehnutelnosti.sk/4935261/odporucame-3-izb-byt-v-centre-kosic-masiarska-parkovanie-vo-dvore/,31.03.2023,315000,Byty,3 izbový byt,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,83, 90,3795.18,4935261,48.7257792,21.25356674
"NOVOREK: 3 IZB. BYT, FURČA-JALTSKA ulica 69 M2+loggia",https://www.nehnutelnosti.sk/4977113/novorek-3-izb-byt-furca-jaltska-ulica-69-m2-loggia/,31.03.2023,199000,Byty,3 izbový byt,Košice III - Dargovských Hrdinov,Predaj,Kompletná rekonštrukcia,69,0,2884.06,4977113,48.73463686,21.28395808
"3 izbový byt s loggiou, Košice - Juh, ul. Jantárová.",https://www.nehnutelnosti.sk/5038289/3-izbovy-byt-s-loggiou-kosice-juh-ul-jantarova/,31.03.2023,165000,Byty,3 izbový byt,Košice IV - Juh,Predaj,Kompletná rekonštrukcia,65,0,2538.46,5038289,48.7114391,21.265136
"4  izbový byt s loggiou, Košice - Ťahanovce, ul. Belehradská.",https://www.nehnutelnosti.sk/5045384/4izbovy-byt-s-loggiou-kosice-tahanovce-ul-belehradska/,31.03.2023,161000,Byty,4 izbový byt,Košice I - Ťahanovce,Predaj,Čiastočná rekonštrukcia,80,0,2012.50,5045384,48.7567703,21.2735104
"3 izbový byt s loggiou, Košice - Sever, ul. Watsonova.",https://www.nehnutelnosti.sk/5045385/3-izbovy-bytsloggiou-kosice-sever-ul-watsonova/,31.03.2023,159990,Byty,3 izbový byt,Košice I - Sever,Predaj,Pôvodný stav,74,0,2162.03,5045385,48.7345715,21.2400608
NA PREDAJ 2 IZBOVÝ BYT S LODŽIOU VO VÝBORNEJ LOKALITE,https://www.nehnutelnosti.sk/5045462/na-predaj-2-izbovy-byt-s-lodziou-vo-vybornej-lokalite/,28.03.2023,149990,Byty,2 izbový byt,Košice I - Sever,Predaj,Kompletná rekonštrukcia,55,0,2727.09,5045462,48.7363272,21.2556591
"NA PREDAJ 1,5 IZBOVÝ BYT NA SÍDLISKU TERASA",https://www.nehnutelnosti.sk/5030287/na-predaj-1-5-izbovy-byt-na-sidlisku-terasa/,28.03.2023,94990,Byty,2 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,33,0,2878.48,5030287,48.7143063,21.2345873
Exkluzívne Na predaj slnečný 3 izbový byt Terasa,https://www.nehnutelnosti.sk/5007392/exkluzivne-na-predaj-slnecny-3-izbovy-byt-terasa/,28.03.2023,173900,Byty,3 izbový byt,Košice II - Západ,Predaj,Čiastočná rekonštrukcia,69,0,2520.29,5007392,48.711507959704,21.238441715731
"1 izb. byt po čiastočnej rekonštrukcii TERASA, HUMENSKÁ 21, Košice",https://www.nehnutelnosti.sk/5057646/1-izb-byt-po-ciastocnej-rekonstrukcii-terasa-humenska-21-kosice/,31.03.2023,102990,Byty,1 izbový byt,Košice II - Západ,Predaj,Čiastočná rekonštrukcia,28,0,3678.21,5057646,48.707651,21.2350875
Predám rodinný dom v Šaci,https://www.nehnutelnosti.sk/5061538/predam-rodinny-dom-v-saci/,27.03.2023,258000,Domy,Rodinný dom,Košice II - Šaca,Predaj,Čiastočná rekonštrukcia,250, 849,1032,5061538,48.639740739537,21.17085128202
"2 izbový tehlový byt, 50m2, Košice - Podhradová",https://www.nehnutelnosti.sk/5037927/2-izbovy-tehlovy-byt-50m2-kosice-podhradova/,27.03.2023,114990,Byty,2 izbový byt,Košice I - Sever,Predaj,Čiastočná rekonštrukcia,50,0,2299.80,5037927,48.74878504602,21.243630339395
"Na predaj -2 izbový byt s loggiou Košice - Sever, Študentská 3D",https://www.nehnutelnosti.sk/4976883/na-predaj-2-izbovy-byt-s-loggiou-kosice-sever-studentska-3d/,31.03.2023,136000,Byty,2 izbový byt,Košice I - Sever,Predaj,Kompletná rekonštrukcia,52,0,2615.38,4976883,48.7412192,21.2490681
"3 izbový byt 69 m2, Palárikova ul.(pri Aupark), loggia, 1.p.",https://www.nehnutelnosti.sk/5062233/3-izbovy-byt-69-m2-palarikova-ul-pri-aupark-loggia-1-p/,31.03.2023,168500,Byty,3 izbový byt,Košice IV - Juh,Predaj,Kompletná rekonštrukcia,69,0,2442.03,5062233,48.7162629,21.2640692
"3 izbový byt 68 m2, Hanojská ul., Košice - sídl. Ťahanovce, 10/12 p., loggia,",https://www.nehnutelnosti.sk/5025530/3-izbovy-byt-68-m2-hanojska-ul-kosice-sidl-tahanovce-10-12-p-loggia/,31.03.2023,134900,Byty,3 izbový byt,Košice I - Sídlisko Ťahanovce,Predaj,Kompletná rekonštrukcia,68,0,1983.82,5025530,48.7604177,21.2707092
Na predaj Garsónka s loggiou a výhľadom na mesto,https://www.nehnutelnosti.sk/5061161/na-predaj-garsonka-s-loggiou-a-vyhladom-na-mesto/,26.03.2023,78990,Byty,Garsónka,Košice III - Dargovských Hrdinov,Predaj,Čiastočná rekonštrukcia,"23,4",0,3375.64,5061161,48.73243411,21.28219806
"NOVOREK 1,5 IZB. BYT- centrum-Palarikova, 35 m2+loggia",https://www.nehnutelnosti.sk/4965612/novorek-1-5-izb-byt-centrum-palarikova-35-m2-loggia/,31.03.2023,155000,Byty,2 izbový byt,Košice IV - Juh,Predaj,Kompletná rekonštrukcia,35,0,4428.57,4965612,48.7156304,21.263888
"Na predaj 3i byt s loggiou -Terasa, ul. Pokroku",https://www.nehnutelnosti.sk/5031882/na-predaj-3i-byt-s-loggiou-terasa-ul-pokroku/,25.03.2023,139990,Byty,3 izbový byt,Košice II - Západ,Predaj,Pôvodný stav,64,0,2187.34,5031882,48.7197531,21.2322252
"Na predaj 4-izbový mezonet s terasou 128m2, centrum (Mäsiarska ul.)",https://www.nehnutelnosti.sk/5042401/na-predaj-4-izbovy-mezonet-s-terasou-128m2-centrum-masiarska-ul/,25.03.2023,282000,Byty,4 izbový byt,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,128,0,2203.13,5042401,48.7232912,21.2545655
"Na predaj 3-izbový byt s krbom, 90 m2, centrum (Mäsiarska ul.)",https://www.nehnutelnosti.sk/5042402/na-predaj-3-izbovy-byt-s-krbom-90-m2-centrum-masiarska-ul/,25.03.2023,242000,Byty,3 izbový byt,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,90,0,2688.89,5042402,48.7232912,21.2545655
"1 izbový byt s loggiou Južná trieda , 36m2",https://www.nehnutelnosti.sk/5051136/1-izbovy-byt-s-loggiou-juzna-trieda-36m2/,31.03.2023,98000,Byty,1 izbový byt,Košice IV - Juh,Predaj,Čiastočná rekonštrukcia,36,0,2722.22,5051136,48.6996513,21.2635202
PRIESTRANNÁ GARÁŽ S ELEKTRICKOU BRÁNOU NA PREDAJ KOŠICE - KRAKOVSKÁ,https://www.nehnutelnosti.sk/5060268/priestranna-garaz-s-elektrickou-branou-na-predaj-kosice-krakovska/,31.03.2023,28990,Objekty,Garáž,Košice IV - Juh,Predaj,Pôvodný stav,0, 17,1705.29,5060268,48.7032955,21.25692
Prenájom 1izbový byt,https://www.nehnutelnosti.sk/5069155/prenajom-1izbovy-byt/,31.03.2023,480/mes.,Byty,1 izbový byt,Košice IV - Nad jazerom,Prenájom,Čiastočná rekonštrukcia,42,0,11.43,5069155,48.674822761813,21.302887705006
novostavba 4-izbový dom v lukratívej lokalite - Nová Terasa,https://www.nehnutelnosti.sk/5057524/novostavba-4-izbovy-dom-v-lukrativej-lokalite-nova-terasa/,31.03.2023,535000,Domy,Rodinný dom,Košice II - Západ,Predaj,Novostavba,177, 206,3022.60,5057524,48.7209956,21.2577477
"stavebný pozemok 635m2 Košice - Šaca, komplet IS, asfalt",https://www.nehnutelnosti.sk/5014339/stavebny-pozemok-635m2-kosice-saca-komplet-is-asfalt/,31.03.2023,133400,Pozemky,Pozemok pre rod. domy,Košice II - Západ,Predaj,,0, 637,209.42,5014339,48.7209956,21.2577477
"3.IZB,TERASA, 57M2+LOGGIA, NOVÁ REKONŠTRUKCIA 03/23",https://www.nehnutelnosti.sk/5031169/3-izb-terasa-57m2-loggia-nova-rekonstrukcia-03-23/,31.03.2023,689/mes.,Byty,3 izbový byt,Košice II - Západ,Prenájom,Kompletná rekonštrukcia,57,0,12.09,5031169,48.7104861,21.2325036
Ponúkame na predaj 3 izbový byt v širšom centre mesta na Hlinkovej ulici v Košiciach.,https://www.nehnutelnosti.sk/5025248/ponukame-na-predaj-3-izbovy-byt-v-sirsom-centre-mesta-na-hlinkovej-ulici-v-kosiciach/,31.03.2023,181980,Byty,3 izbový byt,Košice I - Sever,Predaj,Kompletná rekonštrukcia,82,0,2219.27,5025248,48.7366142,21.2461834
Ponúkame so súhlasom majiteľa záhradnú chatku v tichej lokalite v mestskej časti Šaca,https://www.nehnutelnosti.sk/5036709/ponukame-so-suhlasom-majitela-zahradnu-chatku-v-tichej-lokalite-v-mestskej-casti-saca/,31.03.2023,19000,Rekreačné domy,Záhradná chatka,Košice II - Šaca,Predaj,Čiastočná rekonštrukcia,300, 300,63.33,5036709,48.6370544,21.1713848
"ÚTULNÝ ZREKONŠTRUOVANÝ 1 IZB. BYT, OKAMŽITE VOĽNÝ, TERASA",https://www.nehnutelnosti.sk/4976567/utulny-zrekonstruovany-1-izb-byt-okamzite-volny-terasa/,31.03.2023,96639,Byty,1 izbový byt,Košice II - Západ,Predaj,Čiastočná rekonštrukcia,35,0,2761.11,4976567,48.7005871,21.2327886
"NAJLEPŠIA CENA ZA ZRENOVOVANÝ, 2-IZBOVÝ, EŠTE NEOBÝVANÝ BYT, NAD JAZEROM",https://www.nehnutelnosti.sk/4965235/najlepsia-cena-za-zrenovovany-2-izbovy-este-neobyvany-byt-nad-jazerom/,31.03.2023,119983,Byty,2 izbový byt,Košice IV - Nad jazerom,Predaj,Kompletná rekonštrukcia,52,0,2307.37,4965235,48.6798746,21.2990832
"SLNEČNÝ, ZREKOŠTRUOVANÝ 2 IZBOVÝ BYT - ŽELEZIARENSKÁ UL.",https://www.nehnutelnosti.sk/5050564/slnecny-zrekostruovany-2-izbovy-byt-zeleziarenska-ul/,31.03.2023,111000,Byty,2 izbový byt,Košice II - Šaca,Predaj,Čiastočná rekonštrukcia,44,0,2522.73,5050564,48.6315221,21.1724662
PEKNÝ ŠTARTOVACÍ BYT V CENTRE KOŠÍC,https://www.nehnutelnosti.sk/5052838/pekny-startovaci-byt-v-centre-kosic/,31.03.2023,99900,Byty,1 izbový byt,Košice I - Staré Mesto,Predaj,Pôvodný stav,36,0,2775,5052838,48.7217052,21.2581401
"LUXUS, ZA PRIJATEĽNÚ CENU PRE KAŽDÉHO",https://www.nehnutelnosti.sk/5056844/luxus-za-prijatelnu-cenu-pre-kazdeho/,31.03.2023,144990,Byty,2 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,60,0,2416.50,5056844,48.7096078,21.2299749
PEKNÝ 2-IZBOVÝ BYT V ŠIRŠOM CENTRE KOŠÍC,https://www.nehnutelnosti.sk/4998044/pekny-2-izbovy-byt-v-sirsom-centre-kosic/,31.03.2023,144990,Byty,2 izbový byt,Košice I - Sever,Predaj,Čiastočná rekonštrukcia,54,0,2685,4998044,48.7374704,21.2526338
"KVALITNÝ DOMOV PRE RODINU, 4 IZB. BYT, TERASA, HUMENSKÁ",https://www.nehnutelnosti.sk/4983966/kvalitny-domov-pre-rodinu-4-izb-byt-terasa-humenska/,31.03.2023,159990,Byty,4 izbový byt,Košice II - Západ,Predaj,Čiastočná rekonštrukcia,76,0,2105.13,4983966,48.7077105,21.2352151
SLNEČNÝ 4 - IZBOVÝ BYT S KRÁSNYM VÝHĽADOM V MESTE KOŠICE-JUH (ŽELEZNÍKY),https://www.nehnutelnosti.sk/5060338/slnecny-4-izbovy-byt-s-krasnym-vyhladom-v-meste-kosice-juh-zelezniky/,31.03.2023,159990,Byty,4 izbový byt,Košice IV - Juh,Predaj,Čiastočná rekonštrukcia,68,0,2352.79,5060338,48.7032955,21.25692
"NA PREDAJ 1,5-IZBOVÝ BYT VO VÝBORNEJ LOKALITE KOŠICE - SEVER",https://www.nehnutelnosti.sk/5002171/na-predaj-1-5-izbovy-byt-vo-vybornej-lokalite-kosice-sever/,31.03.2023,117990,Byty,2 izbový byt,Košice I - Sever,Predaj,Kompletná rekonštrukcia,35,0,3371.14,5002171,48.7480086,21.2475427
EXKLUZÍVNY PREDAJ RODINNÉHO DOMU NA PEREŠI,https://www.nehnutelnosti.sk/5025197/exkluzivny-predaj-rodinneho-domu-na-peresi/,31.03.2023,294990,Domy,Rodinný dom,Košice II - Pereš,Predaj,Pôvodný stav,539, 1060,547.29,5025197,48.6850932,21.2188042
"NOVOSTAVBA BELLOVA: 2 izbový, úž. plocha 48 m2, loggia, Staré Mesto",https://www.nehnutelnosti.sk/5059098/novostavba-bellova-2-izbovy-uz-plocha-48-m2-loggia-stare-mesto/,31.03.2023,750/mes.,Byty,2 izbový byt,Košice I - Staré Mesto,Prenájom,Novostavba,40,0,18.75,5059098,48.7313026,21.2623497
"NOVOSTAVBA - postúpenie: 2 izb. byt, Košice Západ, 50,52 + 10 m2 loggia , 2p., vo vysokom štandarde",https://www.nehnutelnosti.sk/5059135/novostavba-postupenie-2-izb-byt-kosice-zapad-50-52-10-m2-loggia-2p-vo-vysokom-standarde/,31.03.2023,207300,Byty,2 izbový byt,Košice II - Západ,Predaj,Novostavba,"50,57",0,4099.27,5059135,48.71273234,21.22372829
"Novorek. 1,5 izb. byt, 4 p., Ružová 45, KE - Západ, nízke náklady",https://www.nehnutelnosti.sk/5024732/novorek-1-5-izb-byt-4-p-ruzova-45-ke-zapad-nizke-naklady/,31.03.2023,142000,Byty,2 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,40,0,3550,5024732,48.7140566,21.2418392
"2 izb. byt v staršia NOVOSTAVBE, KROSNIANSKA ul., 56 m2, TEHLOVÝ, bezproblémové parkovanie",https://www.nehnutelnosti.sk/5042126/2-izb-byt-v-starsia-novostavbe-krosnianska-ul-56-m2-tehlovy-bezproblemove-parkovanie/,31.03.2023,166000,Byty,2 izbový byt,Košice III - Dargovských Hrdinov,Predaj,Kompletná rekonštrukcia,56,0,2964.29,5042126,48.7378124,21.2863736
"NOVINKA: 2 izb. byt, KOMPLETNÁ rek., 4.p., TEHLA, balkón, Panelová ul., KE - JUH",https://www.nehnutelnosti.sk/4995962/novinka-2-izb-byt-kompletna-rek-4-p-tehla-balkon-panelova-ul-ke-juh/,31.03.2023,159900,Byty,2 izbový byt,Košice IV - Juh,Predaj,Kompletná rekonštrukcia,53,0,3016.98,4995962,48.7072075,21.2599829
